No Intervention,School Closure,Intense Lockdown,Relax Intervention 1,Relax Intervention 2,Relax Intervention 3,Lockdown Level 2,Lockdown Level 3,Lockdown Level 5,Pre-christmas Level 3,Holiday period,After-christmas Level 5
1.304132059,2.268141789,0.183408816,0.000291949,0.210407449,0.457215731,0.448178711,0.435915581,0.07615966,1.301278645,0.690473029,0.052688653
1.558299321,2.096854802,0.162837511,0.002985415,0.199429013,0.445514852,0.551907052,0.400524347,0.105055023,0.897102079,1.100311784,0.014922037
1.290681602,2.276766322,0.182519954,0.014426719,0.170531016,0.478699318,0.387724264,0.513397316,0.077172518,1.243786242,0.800529426,0.00392395
1.29694215,2.221398817,0.180076218,1.00E-04,0.127888519,0.528829496,0.44507474,0.39721846,0.100424342,1.164550082,0.729975136,0.095070416
1.150444542,2.447978422,0.184496373,0.002422055,0.115397734,0.502959019,0.429871324,0.414861036,0.151365745,0.959041943,0.701277276,0.061990815
1.399729294,2.27179128,0.160899437,0.007482448,0.098173271,0.536464336,0.458703313,0.388296982,0.165981955,0.742461212,1.016230935,0.003709884
1.328515307,2.239551809,0.174533548,0.002959073,0.22016204,0.440440685,0.542592065,0.341731012,0.155319075,0.930206941,0.889151612,0.011904884
0.80330822,2.792645249,0.162625089,0.001927835,0.174036553,0.520541347,0.408566743,0.376519498,0.186689506,0.653398705,1.026331364,0.021668189
1.279601419,2.503114086,0.141925435,0.004022094,0.367950552,0.405289785,0.487480532,0.395853049,0.095449011,1.216767199,0.753395554,0.011542786
1.09803714,2.392813401,0.192403777,0.002635348,0.15804342,0.4841541,0.450566616,0.356288412,0.1696452,0.91966572,0.789570807,0.028279736
1.356263734,2.37242951,0.155066355,0.003454763,0.190666595,0.492176661,0.472039853,0.387660779,0.122414879,0.910425967,0.9243409,0.014595309
1.112194565,2.405856811,0.175853068,0.01368029,0.199041085,0.47913517,0.438475484,0.39568858,0.123656968,0.855164247,1.015333071,0.04803774
1.367172516,2.309972426,0.155434399,0.002947862,0.239270804,0.459094176,0.473304774,0.38306761,0.139898092,0.834944727,0.896967262,0.022403224
1.687614672,1.791390025,0.204376121,0.007433485,0.321937097,0.344083884,0.577190068,0.403980677,0.072838309,1.329749747,0.688507506,0.009937455
0.791109498,2.902138101,0.170788903,0.00045404,0.197797725,0.462639571,0.490152078,0.390283253,0.117159389,1.057929363,0.849038452,1.63E-06
1.265401823,2.336644193,0.19084582,0.003865033,0.183862579,0.43169788,0.506909319,0.395666332,0.099321602,1.288203238,0.670127926,0.015753749
1.248114767,2.448919874,0.163108082,0.003225948,0.208484742,0.436428688,0.549770648,0.401938587,0.077895006,1.344559756,0.671673136,0.000445217
1.87561565,1.836393152,0.168649811,0.00365834,0.128255613,0.536127955,0.458484419,0.394152039,0.097486551,1.235684576,0.796297658,0.033991898
1.434995925,2.029662031,0.189667105,0.005442623,0.179927835,0.491327966,0.389833909,0.481758111,0.105756038,0.842541934,1.158795903,0.00513404
1.506836182,2.092430171,0.17293808,0.003250857,0.270594549,0.417084261,0.480109946,0.4123545,0.117853786,0.981220218,0.827541257,0.054098044
1.769315436,2.072890682,0.156044262,0.008530352,0.164314743,0.498149102,0.459354482,0.40070472,0.122771398,0.752954467,1.263605177,0.009728725
1.837346556,1.845201486,0.168672322,0.001693416,0.195316921,0.477696336,0.458437031,0.395112389,0.138611591,1.057645417,0.796913285,0.039548772
1.318674715,2.244802188,0.165973267,0.001255459,0.267785104,0.454776204,0.454196981,0.391548209,0.103006867,1.125465154,0.928114387,0.006310463
1.39463937,2.181848498,0.175893048,0.006081989,0.252105482,0.430507319,0.502213267,0.361489606,0.147957813,1.010135636,0.837669518,0.007319256
1.13308113,2.364651462,0.187678712,0.00509219,0.206350802,0.471594464,0.401958387,0.44789182,0.114348053,1.017132988,0.832172874,0.019457977
1.142861816,2.34100067,0.192364039,0.003457379,0.095150691,0.515006171,0.489719963,0.403309391,0.100960178,1.144154432,0.82306624,0.002742961
1.618140818,2.096871381,0.148019727,0.004808744,0.230472189,0.481193351,0.442487807,0.441884574,0.098322714,1.108147933,0.78224894,0.008209877
1.558567986,2.086721532,0.162951835,0.026049376,0.218111097,0.462602046,0.437932289,0.398452989,0.133906665,1.023166192,0.778957891,0.000785018
1.429421806,2.041928971,0.194705558,0.006849009,0.131026433,0.498018724,0.502196668,0.370860216,0.104422662,1.045818575,0.931815922,0.007571611
1.090542447,2.523604785,0.166304899,0.009184541,0.270701621,0.438404138,0.477346925,0.371793138,0.130110073,0.940975271,0.900321286,0.047667409
1.127300646,2.44423822,0.172084695,0.003133265,0.165617187,0.480787379,0.494695084,0.387986749,0.121854192,0.987652286,0.85689979,0.066497774
