"","x"
"386",0.921619288
"387",0.9161612045
"388",0.91077241
"389",0.9054529045
"390",0.9004892925
"391",0.895037508
"392",0.8900014575
"393",0.884984304
"394",0.8800175425
"395",0.8753562825
"396",0.8702792885
"397",0.8655109455
"398",0.8608055925
"399",0.8561632295
"400",0.851794873
"401",0.8470737725
"402",0.842629828
"403",0.8382425745
"404",0.833918311
"405",0.8298334095
"406",0.8254556045
"407",0.821314012
"408",0.8172354095
"409",0.813213498
"410",0.809383706
"411",0.8053365985
"412",0.801428069
"413",0.7976140245
"414",0.793875568
"415",0.790310334
"416",0.7865718775
"417",0.783003494
"418",0.7794918015
"419",0.7760336505
"420",0.7726888815
"421",0.7692559265
"422",0.765826121
"423",0.7625348935
"424",0.759325553
"425",0.756226445
"426",0.7530674965
"427",0.750015631
"428",0.747017307
"429",0.744069375
"430",0.741159237
"431",0.7382774445
"432",0.7352791205
"433",0.732454019
"434",0.729720253
"435",0.727043178
"436",0.7244007475
"437",0.7218118585
"438",0.7192733615
"439",0.7167789575
"440",0.714262507
"441",0.7118720365
"442",0.7092579515
"443",0.7068454345
"444",0.704536851
"445",0.7022408655
"446",0.700051963
"447",0.6978756585
"448",0.695743447
"449",0.6936553285
"450",0.691491622
"451",0.689532633
"452",0.687252395
"453",0.6852083695
"454",0.6832745765
"455",0.6813155875
"456",0.679529821
"457",0.677715709
"458",0.6759425405
"459",0.6742103155
"460",0.672361559
"461",0.670774211
"462",0.6687931755
"463",0.667070399
"464",0.665464154
"465",0.6638106665
"466",0.662365046
"467",0.6608690335
"468",0.659410815
"469",0.6579903905
"470",0.65641879
"471",0.655152691
"472",0.653426765
"473",0.6519874435
"474",0.650667803
"475",0.6492788735
"476",0.6481261565
"477",0.6469073
"478",0.6457199385
"479",0.644564072
"480",0.6432381325
"481",0.64224604
"482",0.6407437285
"483",0.639543769
"484",0.63846664
"485",0.637313923
"486",0.636406867
"487",0.6354210735
"488",0.634466775
"489",0.633540822
"490",0.6324290485
"491",0.6316605705
"492",0.630347229
"493",0.629351987
"494",0.6284858745
"495",0.6275347255
"496",0.6268292375
"497",0.6260418625
"498",0.6252796835
"499",0.62454585
"500",0.623619897
"501",0.62303409
"502",0.621881373
"503",0.621056204
"504",0.6203601645
"505",0.6195853875
"506",0.619040524
"507",0.618416923
"508",0.6178153685
"509",0.61723901
"510",0.616470532
"511",0.6160264525
